"","substancia","resumoApresentacao","minino","maximo","mediano","marcas","valoresMin","valoresMax","valoresMed"
"1","21-ACETATO DE DEXAMETASONA;CLOTRIMAZOL","10MG/G|0.443MG/G|40G|topico|pomada-creme-gel",21.07,30.43,27,"BAYCUTEN N","21.07","30.43","27"
"2","ABATACEPTE","125MG/ML|injetavel|solucao",5247.7,5247.7,5248,"ORENCIA","5247.7","5247.7","5248"
"3","ABATACEPTE","250MG|oral|solucao",1652.52,2065.65,1927,"ORENCIA","1652.52","2065.65","1927"
"4","ABEMACICLIBE","100MG|oral|comprimido",4437.85,6408.78,5625,"VERZENIOS","4437.85","6408.78","5625"
"5","ABEMACICLIBE","150MG|oral|comprimido",6372.37,18404.93,12116.5,"VERZENIOS|VERZENIOS","6372.37|12744.76","9202.46|18404.93","8078|16155"
"6","ABEMACICLIBE","200MG|oral|comprimido",7957.99,22984.54,15131.5,"VERZENIOS|VERZENIOS","7957.99|15915.97","11492.28|22984.54","10088|20175"
"7","ABEMACICLIBE","50MG|oral|comprimido",2218.93,3204.39,2813,"VERZENIOS","2218.93","3204.39","2813"
"8","ACALABRUTINIBE","100MG|oral|comprimido",30627.83,44230.2,38824,"CALQUENCE","30627.83","44230.2","38824"
"9","ACARBOSE","100MG|oral|comprimido",31.81,62.11,47.5,"AGLUCOSE|GLUCOBAY","31.81|49.69","39.76|62.11","37|58"
"10","ACARBOSE","50MG|oral|comprimido",20.96,26.2,24,"AGLUCOSE","20.96","26.2","24"
"11","ACEBROFILINA","10MG/ML|oral|solucao",14.11,892.18,24,"ACEBROFILINA|FILINAR|ACEBROFILINA|ACEBROFILINA|DILABRONCO|RESPIRAN|ACEBROFILINA|BRONDILAT|BRONDILAT|ACEBROFILINA|ACEBROFILINA|ACEBROFILINA|ACEBROFILINA|ACEBROFILINA|ACEBROFILINA|ACEBROFILINA|BRONTEK|ACEBROFILINA|ACEBROFILINA|BRONCOLEX|ACEBROFILINA","20.57|20.72|20.57|20.36|19.39|25.84|14.11|35.26|17.6|20.9|20.9|20.14|22.9|22.92|19.32|713.74|28.24|22.89|19.74|20.9|20.01","25.71|25.9|25.71|25.45|24.24|32.3|17.64|44.08|22|26.13|26.13|25.18|28.63|28.65|24.15|892.18|35.3|28.61|24.68|26.13|25.01","24|24|24|24|23|30|16|41|21|24|24|23|27|27|23|832|33|27|23|24|23"
"12","ACEBROFILINA","10MG|oral|solucao",25.23,31.54,29,"LISOMUC","25.23","31.54","29"
"13","ACEBROFILINA","5MG/ML|oral|pomada-creme-gel",14.59,18.24,17,"FILINAR G","14.59","18.24","17"
